epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,82.9485,2.40908,2.62373,0.00506,0.56159,0.44305,0.45116,0.19069,2.1991,1.68347,0.00627,0.000326389,0.000326389,0.000326389
2,123.573,2.23794,1.2306,0.00427,0.5054,0.49875,0.51537,0.21877,2.17482,0.99691,0.00593,0.000643394,0.000643394,0.000643394
3,167.872,2.20947,1.04605,0.00412,0.55334,0.5156,0.54129,0.22132,2.18971,0.93477,0.00603,0.000943899,0.000943899,0.000943899
4,212.845,2.19069,0.98281,0.00414,0.72357,0.53251,0.55303,0.23415,2.13381,0.84801,0.00586,0.00092575,0.00092575,0.00092575
5,257.295,2.17329,0.92646,0.00416,0.88379,0.54554,0.56215,0.23708,2.13028,0.8279,0.00584,0.000901,0.000901,0.000901
6,301.242,2.17013,0.89343,0.0042,0.89329,0.56103,0.57331,0.24561,2.12121,0.78071,0.00578,0.00087625,0.00087625,0.00087625
7,345.289,2.15974,0.87433,0.00408,0.89349,0.55061,0.58407,0.24951,2.10388,0.7886,0.00581,0.0008515,0.0008515,0.0008515
8,391.692,2.13814,0.85121,0.00408,0.89913,0.54506,0.63166,0.26022,2.09989,0.76642,0.00574,0.00082675,0.00082675,0.00082675
9,436.916,2.15037,0.83862,0.00401,0.9115,0.56068,0.61378,0.26036,2.08788,0.74917,0.00572,0.000802,0.000802,0.000802
10,479.643,2.13366,0.82858,0.00399,0.90594,0.56988,0.64587,0.26885,2.09949,0.73746,0.00571,0.00077725,0.00077725,0.00077725
11,524.718,2.12386,0.81641,0.00408,0.91761,0.56281,0.6533,0.27153,2.07062,0.73568,0.00565,0.0007525,0.0007525,0.0007525
12,568.928,2.12168,0.81229,0.00397,0.9003,0.56407,0.58659,0.25333,2.1063,0.74825,0.0058,0.00072775,0.00072775,0.00072775
13,613.574,2.10989,0.8062,0.004,0.76868,0.62838,0.66293,0.27347,2.08015,0.72741,0.00571,0.000703,0.000703,0.000703
14,657.494,2.0988,0.79863,0.00399,0.74212,0.66497,0.68526,0.28073,2.07427,0.74615,0.0058,0.00067825,0.00067825,0.00067825
15,702.209,2.11251,0.79623,0.0039,0.787,0.62701,0.63894,0.27402,2.06062,0.73629,0.00558,0.0006535,0.0006535,0.0006535
16,746.618,2.10438,0.78469,0.00389,0.77433,0.63343,0.64234,0.27405,2.04485,0.72906,0.00557,0.00062875,0.00062875,0.00062875
17,791.304,2.09138,0.76982,0.00396,0.84014,0.62666,0.66127,0.27911,2.06445,0.71797,0.00567,0.000604,0.000604,0.000604
18,836.262,2.08841,0.76781,0.00392,0.80068,0.68684,0.68008,0.28378,2.04826,0.7236,0.00556,0.00057925,0.00057925,0.00057925
19,880.058,2.08295,0.75536,0.00389,0.77517,0.64788,0.694,0.29177,2.05232,0.7155,0.00562,0.0005545,0.0005545,0.0005545
20,923.882,2.0846,0.76035,0.00391,0.70286,0.67349,0.70192,0.29152,2.03741,0.71715,0.00555,0.00052975,0.00052975,0.00052975
21,967.942,2.07886,0.76155,0.00391,0.71516,0.72919,0.73955,0.3004,2.03716,0.70935,0.00551,0.000505,0.000505,0.000505
22,1012.31,2.07288,0.75546,0.00387,0.84291,0.65163,0.70891,0.2929,2.03458,0.71887,0.00555,0.00048025,0.00048025,0.00048025
23,1056.46,2.06624,0.74676,0.00385,0.70857,0.66297,0.68123,0.28589,2.0482,0.72094,0.00566,0.0004555,0.0004555,0.0004555
24,1100.77,2.07217,0.74955,0.00385,0.77579,0.68433,0.69923,0.29034,2.03269,0.71185,0.00553,0.00043075,0.00043075,0.00043075
25,1145,2.06206,0.74914,0.00388,0.73749,0.67194,0.68211,0.29468,2.02436,0.71659,0.00551,0.000406,0.000406,0.000406
26,1188.84,2.06166,0.74168,0.00373,0.83672,0.6802,0.69268,0.28996,2.02924,0.70803,0.00552,0.00038125,0.00038125,0.00038125
27,1235.27,2.05246,0.74721,0.00383,0.73404,0.66544,0.70238,0.29964,2.02789,0.71722,0.00555,0.0003565,0.0003565,0.0003565
28,1278.78,2.05642,0.74156,0.00376,0.74591,0.71289,0.71076,0.29688,2.02372,0.69916,0.00548,0.00033175,0.00033175,0.00033175
29,1323.91,2.03704,0.73437,0.00377,0.7829,0.69011,0.70361,0.30012,2.01574,0.70544,0.00546,0.000307,0.000307,0.000307
30,1368.31,2.0344,0.73587,0.00383,0.85051,0.68625,0.71376,0.30158,2.03065,0.70078,0.00554,0.00028225,0.00028225,0.00028225
31,1416.39,2.05055,0.70933,0.00423,0.74493,0.69229,0.69004,0.29838,2.02884,0.70967,0.00554,0.0002575,0.0002575,0.0002575
32,1460.07,2.03257,0.70551,0.00424,0.77629,0.69463,0.69749,0.30232,2.01502,0.70187,0.00545,0.00023275,0.00023275,0.00023275
33,1504.44,2.02705,0.70052,0.00421,0.85894,0.67367,0.69617,0.29906,2.02088,0.69613,0.00546,0.000208,0.000208,0.000208
34,1547.63,2.02169,0.69782,0.00424,0.77696,0.6664,0.69558,0.29754,2.03649,0.68859,0.00549,0.00018325,0.00018325,0.00018325
35,1590.88,2.02389,0.69242,0.00418,0.75774,0.68119,0.69589,0.30159,2.01987,0.6903,0.00546,0.0001585,0.0001585,0.0001585
36,1634.49,2.01136,0.69013,0.00424,0.75017,0.6817,0.69485,0.29803,2.01092,0.69519,0.00544,0.00013375,0.00013375,0.00013375
37,1676.52,2.00521,0.68767,0.00423,0.75498,0.68582,0.69516,0.29988,2.01309,0.68086,0.00544,0.000109,0.000109,0.000109
38,1717.97,2.0103,0.68726,0.00421,0.74441,0.68183,0.69749,0.30154,2.00977,0.68381,0.00543,8.425e-05,8.425e-05,8.425e-05
39,1762.02,2.00649,0.68456,0.00418,0.73259,0.67552,0.6992,0.30567,2.00839,0.68651,0.00544,5.95e-05,5.95e-05,5.95e-05
40,1804.64,1.99828,0.68046,0.00419,0.7341,0.6888,0.69934,0.30305,2.00796,0.68114,0.00542,3.475e-05,3.475e-05,3.475e-05
