epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.0107,3.38439,3.88545,1.35274,0.01026,0.07631,0.006,0.00173,2.76838,3.89137,1.08726,0.00031438,0.00031438,0.00031438
2,35.3584,2.9875,2.28706,1.10653,0.01076,0.07308,0.02706,0.00636,2.87119,3.48225,1.11046,0.000627135,0.000627135,0.000627135
3,38.9348,2.92596,1.86141,1.08632,0.85811,0.10702,0.12355,0.03329,2.82012,2.41815,1.09713,0.00092362,0.00092362,0.00092362
4,42.66,2.88339,1.75662,1.07589,0.79709,0.11787,0.11071,0.03012,2.77372,1.97671,1.09578,0.00120384,0.00120384,0.00120384
5,46.1254,2.80393,1.69389,1.07117,0.82416,0.15087,0.14073,0.03772,2.72762,1.86201,1.0741,0.00128753,0.00128753,0.00128753
6,49.6186,2.82154,1.65456,1.06241,0.79956,0.14663,0.1191,0.03363,2.67786,1.80703,1.07483,0.00125216,0.00125216,0.00125216
7,53.0103,2.81546,1.65519,1.04748,0.83849,0.1768,0.17558,0.04829,2.65396,1.64143,1.05597,0.00121679,0.00121679,0.00121679
8,56.5625,2.74032,1.57253,1.04485,0.8475,0.18435,0.41292,0.14683,2.5916,1.53841,1.04445,0.00118143,0.00118143,0.00118143
9,60.0553,2.73449,1.56066,1.04639,0.85119,0.18576,0.37206,0.11798,2.64017,1.50453,1.06113,0.00114606,0.00114606,0.00114606
10,63.5167,2.71752,1.52001,1.04936,0.65729,0.28274,0.4418,0.15526,2.56604,1.49513,1.04063,0.00111069,0.00111069,0.00111069
11,66.8188,2.72768,1.484,1.04483,0.71241,0.43182,0.47678,0.16796,2.57849,1.47205,1.03767,0.00107532,0.00107532,0.00107532
12,70.4877,2.70928,1.46028,1.0455,0.69068,0.55722,0.56478,0.22184,2.60752,1.38295,1.0496,0.00103995,0.00103995,0.00103995
13,73.9281,2.67712,1.42495,1.04149,0.64828,0.55869,0.59184,0.23304,2.5869,1.34844,1.04803,0.00100459,0.00100459,0.00100459
14,77.3345,2.68742,1.40416,1.03931,0.71204,0.55715,0.59883,0.23305,2.61613,1.31033,1.05983,0.000969219,0.000969219,0.000969219
15,80.8753,2.63077,1.36992,1.01915,0.68187,0.54904,0.58561,0.21311,2.5665,1.3187,1.03786,0.000933851,0.000933851,0.000933851
16,84.4597,2.59371,1.34856,1.02675,0.76394,0.59972,0.6185,0.24492,2.63505,1.30165,1.05527,0.000898484,0.000898484,0.000898484
17,87.8208,2.67786,1.33906,1.02194,0.61045,0.47754,0.54583,0.18672,2.55319,1.30601,1.0268,0.000863116,0.000863116,0.000863116
18,91.2405,2.63048,1.32653,1.00911,0.78114,0.63133,0.63149,0.25193,2.61644,1.29265,1.05387,0.000827748,0.000827748,0.000827748
19,94.6575,2.63666,1.31709,1.02003,0.75315,0.59572,0.62642,0.27027,2.62246,1.27878,1.05871,0.00079238,0.00079238,0.00079238
20,98.2546,2.62669,1.31855,1.02221,0.6419,0.62691,0.6177,0.24983,2.66555,1.30206,1.05687,0.000757013,0.000757013,0.000757013
21,101.704,2.62414,1.31152,1.0229,0.61159,0.63623,0.62738,0.25205,2.56582,1.29298,1.03834,0.000721645,0.000721645,0.000721645
