epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.5724,2.18275,3.04292,1.19611,0.08115,0.26645,0.23776,0.10547,1.99726,3.44578,1.06391,0.000328283,0.000328283,0.000328283
2,54.9553,1.99497,1.21019,1.0978,0.87542,0.44599,0.4885,0.21137,1.97381,1.10576,1.11092,0.000648516,0.000648516,0.000648516
3,66.2394,1.88213,0.94631,1.08921,0.56888,0.50423,0.52311,0.22649,1.86472,0.87927,1.12991,0.000955549,0.000955549,0.000955549
4,77.4956,1.85062,0.90772,1.08414,0.56766,0.53149,0.53895,0.23203,1.82985,0.81313,1.11343,0.0009406,0.0009406,0.0009406
5,88.776,1.82549,0.85816,1.07567,0.55467,0.53388,0.54106,0.23494,1.79763,0.8222,1.10213,0.0009208,0.0009208,0.0009208
6,99.8324,1.79517,0.84388,1.06985,0.58095,0.53796,0.54757,0.24292,1.76809,0.79244,1.0822,0.000901,0.000901,0.000901
7,110.895,1.78189,0.8299,1.06267,0.56457,0.54133,0.55587,0.24436,1.78821,0.81208,1.09199,0.0008812,0.0008812,0.0008812
8,122.139,1.7625,0.81561,1.06134,0.57103,0.54946,0.56352,0.26055,1.7396,0.77836,1.08095,0.0008614,0.0008614,0.0008614
9,133.315,1.7407,0.80187,1.06082,0.5795,0.5544,0.56728,0.25989,1.74903,0.74801,1.08291,0.0008416,0.0008416,0.0008416
10,144.313,1.73472,0.78446,1.0499,0.57648,0.56102,0.56559,0.26021,1.73192,0.74087,1.066,0.0008218,0.0008218,0.0008218
11,155.664,1.74211,0.77946,1.05273,0.58158,0.56336,0.57326,0.26307,1.71673,0.74339,1.06432,0.000802,0.000802,0.000802
12,166.799,1.72387,0.77048,1.0528,0.58763,0.56618,0.57282,0.26108,1.75124,0.7254,1.0809,0.0007822,0.0007822,0.0007822
13,177.95,1.71478,0.76842,1.04728,0.75135,0.56255,0.57073,0.2648,1.74112,0.72479,1.07787,0.0007624,0.0007624,0.0007624
14,189.222,1.70076,0.75654,1.04555,0.74975,0.56529,0.57822,0.26825,1.70998,0.72209,1.06719,0.0007426,0.0007426,0.0007426
15,200.386,1.70691,0.74817,1.04669,0.75397,0.57031,0.57986,0.27341,1.68849,0.7168,1.06147,0.0007228,0.0007228,0.0007228
16,211.765,1.68726,0.74071,1.03719,0.75707,0.57602,0.58321,0.27273,1.69936,0.71096,1.06461,0.000703,0.000703,0.000703
17,223.06,1.68714,0.74114,1.03945,0.92561,0.58044,0.58727,0.2765,1.69895,0.70069,1.06359,0.0006832,0.0006832,0.0006832
18,234.413,1.67418,0.7289,1.03679,0.75716,0.57837,0.58557,0.27688,1.68498,0.70416,1.05724,0.0006634,0.0006634,0.0006634
19,245.605,1.67652,0.72529,1.04117,0.9185,0.58122,0.58576,0.27869,1.67455,0.69329,1.05647,0.0006436,0.0006436,0.0006436
20,256.835,1.68537,0.72564,1.04147,0.92662,0.57823,0.58814,0.27842,1.69216,0.68366,1.06144,0.0006238,0.0006238,0.0006238
21,268,1.67978,0.71836,1.03784,0.92735,0.57687,0.58747,0.28175,1.66931,0.68404,1.05504,0.000604,0.000604,0.000604
22,279.281,1.6764,0.71389,1.03806,0.92641,0.58634,0.60878,0.28942,1.65815,0.68215,1.05118,0.0005842,0.0005842,0.0005842
