epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.0178,2.00839,1.49498,1.20513,0.55119,0.53306,0.53351,0.2278,1.8418,0.80648,1.12878,0.000328283,0.000328283,0.000328283
2,59.674,1.81711,0.78337,1.10293,0.57749,0.55275,0.55492,0.24004,1.81017,0.75378,1.12676,0.000648516,0.000648516,0.000648516
3,74.2549,1.79563,0.75305,1.09067,0.89759,0.56474,0.5626,0.25386,1.80243,0.73582,1.11888,0.000955549,0.000955549,0.000955549
4,88.7837,1.77709,0.74197,1.08325,0.91845,0.55649,0.6123,0.27562,1.77848,0.7263,1.11184,0.0009406,0.0009406,0.0009406
5,103.334,1.75724,0.72308,1.08134,0.92806,0.57434,0.67526,0.30608,1.73925,0.68611,1.09773,0.0009208,0.0009208,0.0009208
6,117.856,1.73745,0.70989,1.07332,0.92656,0.57123,0.68311,0.30463,1.73477,0.70213,1.09777,0.000901,0.000901,0.000901
7,132.429,1.72897,0.70538,1.07041,0.89278,0.66396,0.68758,0.30436,1.73105,0.69916,1.09576,0.0008812,0.0008812,0.0008812
8,146.974,1.70919,0.69694,1.06484,0.93432,0.58042,0.69694,0.30293,1.70499,0.69118,1.09233,0.0008614,0.0008614,0.0008614
9,161.588,1.69027,0.69274,1.06711,0.83649,0.67404,0.68152,0.3046,1.69034,0.6744,1.08374,0.0008416,0.0008416,0.0008416
10,176.106,1.6929,0.68461,1.06198,0.83106,0.68066,0.6749,0.30493,1.70579,0.66348,1.09486,0.0008218,0.0008218,0.0008218
11,190.705,1.70479,0.68293,1.06679,0.92832,0.68609,0.69674,0.31972,1.69455,0.66913,1.08576,0.000802,0.000802,0.000802
12,205.205,1.68691,0.67945,1.06489,0.9286,0.67209,0.6856,0.3129,1.69076,0.6566,1.08384,0.0007822,0.0007822,0.0007822
13,219.769,1.6803,0.6769,1.06057,0.87609,0.6924,0.70171,0.31686,1.68652,0.65815,1.07917,0.0007624,0.0007624,0.0007624
